# MeshBreaker v3.0 — Requirements
# sudo apt install python3-pip bluetooth bluez bluez-tools libbluetooth-dev
# pip install -r requirements.txt

# ── Core BLE ──────────────────────────────────────────────────────────────────
bleak>=0.21.0                                      # cross-platform BLE async
bluepy>=1.3.0; platform_system=="Linux"            # Linux BLE GATT (alt backend)

# ── Packet manipulation ───────────────────────────────────────────────────────
scapy>=2.5.0                                       # BLE packet capture + crafting

# ── Crypto / firmware analysis ────────────────────────────────────────────────
pycryptodome>=3.18.0                               # AES/RSA key detection

# ── Hardware fuzzing ──────────────────────────────────────────────────────────
pyserial>=3.5                                      # UART fuzzing

# ── TUI / CLI ─────────────────────────────────────────────────────────────────
rich>=13.0.0                                       # panels, tables, progress bars
click>=8.1.0                                       # CLI argument parsing

# ── Report generation ────────────────────────────────────────────────────────
jinja2>=3.1.0                                      # optional HTML templating

# ── Optional (advanced) ───────────────────────────────────────────────────────
# capstone>=4.0.2          # ARM disassembly (phase 3 deep analysis)
# unicorn>=2.0.0           # CPU emulation (QEMU-style offset verification)
# r2pipe>=1.8.0            # radare2 integration
# btlejack                 # BLE packet injection (Ubertooth)
# pyshark>=0.6             # pcapng parsing via tshark
